Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2)
Iraq,2005,42.02,5.0758,61.9872,26.9223,13.3227,13.5995,102.0776,
Iraq,2010,41.8064,4.8374,68.4794,29.742,14.7196,15.0224,102.0575,
Iraq,2017,38.7745,5.0868,86.4634,37.5528,18.5589,18.9939,102.3443,435.052
Iraq,2020,37.7137,5.1078,92.6103,40.2225,19.8647,20.3578,102.4821,
Ireland,2005,20.1993,14.7199,60.1136,4.1412,2.0739,2.0673,99.6823,
Ireland,2010,20.7858,15.894,66.11,4.5543,2.2914,2.2629,98.7586,
Ireland,2017,21.6033,18.5875,68.9981,4.7533,2.3988,2.3544,98.1496,69.797
Ireland,2020,20.8323,19.6378,71.6764,4.9378,2.4864,2.4513,98.5884,
Isle of Man,2005,17.2589,22.1447,133.5404,0.0761,,,96.877,
Isle of Man,2009,16.4427,24.0971,139.1667,0.0793,,,98.3792,
Isle of Man,2010,,,140.4772,0.0801,,,98.5954,
Isle of Man,2016,16.0189,26.8562,146.907,0.0837,,,98.1544,
Isle of Man,2017,,,147.8719,0.0843,,,,0.572
Isle of Man,2020,,,150.693,0.0859,,,,
Israel,2005,27.8503,13.2466,301.7319,6.5295,3.3088,3.2206,97.3344,
Israel,2010,27.2635,14.8883,339.4846,7.3464,3.7182,3.6282,97.5808,
Israel,2017,27.9446,16.1195,380.9542,8.2438,4.1495,4.0943,98.6706,22.072
Israel,2020,27.8285,16.4575,399.9785,8.6555,4.3474,4.3081,99.0959,
Italy,2005,14.1669,25.137,198.1411,58.2812,29.9855,28.2957,94.3648,
Italy,2010,14.0788,26.7013,201.6905,59.3252,30.6207,28.7045,93.7423,
Italy,2017,13.4751,28.6317,206.2749,60.6737,31.1919,29.4818,94.5175,302.073
Italy,2020,12.9873,29.8408,205.5546,60.4618,31.0241,29.4377,94.8866,
Jamaica,2005,30.1276,10.6899,253.0012,2.74,1.3825,1.3575,98.1977,
Jamaica,2010,27.0139,11.4053,259.5069,2.8105,1.413,1.3975,98.9073,
Jamaica,2017,24.0142,12.4007,269.6997,2.9208,1.47,1.4508,98.6962,10.9905
Jamaica,2020,23.3582,13.2695,273.4226,2.9612,1.4915,1.4696,98.5331,
Japan,2005,13.8299,26.3041,352.0076,128.3261,65.4405,62.8856,96.0958,
Japan,2007,13.5868,27.8932,352.4682,128.4941,65.5772,62.9169,95.9433,377.93
Japan,2010,13.3548,30.2905,352.6007,128.5424,65.6678,62.8745,95.7463,
Japan,2020,12.4486,34.3242,346.9338,126.4765,64.7234,61.753,95.4107,
Jordan,2005,38.2432,5.2198,64.9429,5.7656,2.791,2.9746,106.5765,
Jordan,2010,37.4776,5.3751,81.7925,7.2615,3.558,3.7035,104.0887,
Jordan,2017,34.8862,5.667,110.2258,9.7858,4.8331,4.9528,102.4768,89.318
Jordan,2020,32.8538,6.0828,114.926,10.2031,5.0372,5.166,102.5574,
Kazakhstan,2005,24.4839,10.0988,5.7054,15.4028,7.9835,7.4193,92.9319,
Kazakhstan,2010,24.055,9.8573,6.02,16.2523,8.3968,7.8555,93.5542,
Kazakhstan,2017,27.9149,11.2877,6.697,18.08,9.3179,8.7621,94.0358,2724.902
Kazakhstan,2020,29.1442,12.2238,6.9551,18.7767,9.6638,9.1129,94.3001,
Kenya,2005,44.027,3.1501,64.3513,36.6249,18.4529,18.172,98.478,
Kenya,2010,43.4413,3.2031,73.8495,42.0307,21.1618,20.8688,98.6154,
Kenya,2017,40.35,3.8101,88.2404,50.2211,25.271,24.9501,98.7303,591.958
Kenya,2020,38.5896,4.161,94.4782,53.7713,27.0528,26.7185,98.7645,
Kiribati,2005,36.9207,5.4037,113.9815,0.0923,0.0468,0.0455,97.1112,
Kiribati,2010,36.1013,5.4903,127.0704,0.1029,0.0523,0.0507,96.8822,
Kiribati,2017,35.146,6.1012,140.9358,0.1142,0.0581,0.0561,96.5918,0.7263
Kiribati,2020,35.9166,6.751,147.4679,0.1194,0.0607,0.0587,96.7744,
Kuwait,2005,25.975,3.6141,127.3961,2.2702,0.9297,1.3405,144.1804,
Kuwait,2010,23.217,3.4328,167.8947,2.9919,1.262,1.7299,137.0725,
Kuwait,2017,21.4225,4.9946,227.615,4.0561,1.6274,2.4287,149.2402,17.818
Kuwait,2020,21.4622,6.531,239.6504,4.2706,1.6561,2.6144,157.866,
Kyrgyzstan,2005,30.9562,7.0647,26.4617,5.0753,2.5596,2.5157,98.2858,
Kyrgyzstan,2010,29.8969,6.4446,28.2706,5.4223,2.7426,2.6797,97.7051,
Kyrgyzstan,2017,32.1807,7.3726,32.2718,6.1897,3.127,3.0627,97.9429,199.949
Kyrgyzstan,2020,32.6488,8.101,34.0156,6.5242,3.2969,3.2273,97.8874,
Lao People's Dem. Rep.,2005,40.311,5.4608,24.9206,5.7517,2.9057,2.8459,97.9421,
Lao People's Dem. Rep.,2010,36.432,5.5883,27.0761,6.2492,3.1497,3.0994,98.4029,
Lao People's Dem. Rep.,2017,32.8829,6.3571,30.1258,6.953,3.4615,3.4915,100.8676,236.8
Lao People's Dem. Rep.,2020,31.9472,6.7919,31.5232,7.2756,3.6238,3.6518,100.7736,
Latvia,2005,14.6798,22.4931,36.2057,2.252,1.2195,1.0325,84.666,
Latvia,2010,14.0892,23.5816,34.0653,2.1189,1.1486,0.9703,84.4744,
Latvia,2017,15.5763,26.4714,31.3681,1.9511,1.0549,0.8962,84.9528,64.573
Latvia,2020,16.4321,27.5758,30.3247,1.8862,1.0169,0.8693,85.4917,
Lebanon,2005,30.3474,8.1414,459.3121,4.6988,2.3082,2.3906,103.5678,
Lebanon,2010,25.8164,9.1977,484.1702,4.9531,2.4374,2.5157,103.2118,
Lebanon,2017,26.588,10.1309,666.6054,6.8194,3.3901,3.4293,101.1578,10.452
Lebanon,2020,25.0688,11.2014,667.1989,6.8254,3.3897,3.4357,101.3585,
Lesotho,2005,37.1595,6.4656,65.7482,1.9961,1.0319,0.9642,93.4387,
Lesotho,2010,34.8872,7.0127,65.7306,1.9956,1.0257,0.9699,94.5623,
Lesotho,2017,32.9814,7.3551,68.8911,2.0915,1.0614,1.0302,97.0596,30.355
Lesotho,2020,32.238,7.5241,70.5616,2.1422,1.0853,1.057,97.3876,
Liberia,2005,42.867,5.3009,33.4107,3.2181,1.6091,1.609,99.9922,
Liberia,2010,43.0343,4.9806,40.4003,3.8914,1.943,1.9484,100.2796,
Liberia,2017,41.4787,5.0845,48.8188,4.7022,2.3412,2.361,100.8466,111.369
Liberia,2020,40.3722,5.2425,52.5091,5.0577,2.5151,2.5425,101.0894,
Libya,2005,30.1659,5.908,3.2955,5.7986,2.8089,2.9897,106.4346,
Libya,2010,28.753,5.9416,3.5223,6.1977,3.0334,3.1642,104.3129,
Libya,2017,28.5394,6.5022,3.74,6.5807,3.2551,3.3256,102.1651,1676.198
Libya,2020,27.7848,6.9112,3.9052,6.8713,3.4026,3.4687,101.9452,
Liechtenstein,2005,17.5333,16.8394,217.825,0.0349,,,96.9718,
Liechtenstein,2010,15.9755,20.1084,225.0188,0.036,,,97.9357,
Liechtenstein,2016,14.9115,22.7394,235.4125,0.0377,,,98.4073,
Liechtenstein,2017,,,237.0125,0.0379,,,,0.16
Liechtenstein,2020,,,241.5313,0.0386,,,,
Lithuania,2005,16.773,21.1448,53.3597,3.3443,1.7907,1.5536,86.7585,
Lithuania,2010,14.7654,22.3867,49.8423,3.1238,1.6859,1.438,85.2944,
Lithuania,2017,14.7275,25.7359,45.4002,2.8454,1.5322,1.3132,85.7032,65.286
Lithuania,2020,15.4779,27.4719,43.4357,2.7223,1.4623,1.26,86.1645,
Luxembourg,2005,18.6226,19.0046,176.773,0.4578,0.2319,0.2259,97.4223,
Luxembourg,2010,17.644,18.9543,196.0961,0.5079,0.2556,0.2523,98.7104,
Luxembourg,2017,16.0651,19.3638,228.5367,0.5919,0.2937,0.2982,101.5253,2.586
Luxembourg,2020,15.5576,19.9467,241.6903,0.626,0.3094,0.3166,102.3265,
Madagascar,2005,44.7119,4.3946,31.5175,18.3367,9.2062,9.1305,99.1773,
Madagascar,2010,43.5222,4.341,36.3558,21.1516,10.6153,10.5363,99.2553,
Madagascar,2017,40.9723,4.7921,43.9511,25.5705,12.8187,12.7519,99.4788,587.295
Madagascar,2020,40.0625,5.0121,47.5958,27.691,13.8764,13.8146,99.5548,
Malawi,2005,46.3809,4.4883,133.9197,12.626,6.4114,6.2146,96.9309,
Malawi,2010,46.3514,4.1983,154.2174,14.5396,7.3854,7.1542,96.8691,
Malawi,2017,44.2969,4.0517,187.4225,17.6702,8.9606,8.7096,97.198,118.484
Malawi,2020,42.9921,4.0928,202.9057,19.13,9.6959,9.434,97.2991,
Malaysia,2005,30.4526,7.1,78.1939,25.6906,12.5226,13.1681,105.1546,
Malaysia,2010,27.9611,7.8732,85.8561,28.208,13.6579,14.5501,106.5327,
Malaysia,2017,24.3438,9.9357,94.6725,31.1046,15.1043,16.0003,105.9319,330.323
Malaysia,2020,23.4481,10.9649,98.5116,32.366,15.7352,16.6308,105.6919,
Maldives,2005,31.4682,6.513,1065.36,0.3196,0.1527,0.1669,109.3622,
Maldives,2010,25.2916,6.1501,1219.1133,0.3657,0.167,0.1987,118.962,
Maldives,2017,20.395,5.814,1654.6733,0.4964,0.1894,0.307,162.0552,0.3
Maldives,2020,19.5997,5.7407,1801.8133,0.5405,0.1976,0.3429,173.5343,
Mali,2005,46.8694,4.5972,10.4701,12.7755,6.4174,6.3581,99.0763,
Mali,2010,47.4888,4.1833,12.3336,15.0494,7.5323,7.517,99.7968,
Mali,2017,47.7228,3.9569,15.1718,18.5124,9.249,9.2634,100.1554,1240.192
Mali,2020,47.0073,3.8601,16.5965,20.2508,10.1057,10.1452,100.391,
Malta,2005,17.4335,18.8846,1264.5406,0.4047,0.204,0.2007,98.3924,
Malta,2010,14.9913,23.0014,1294.5406,0.4143,0.2086,0.2056,98.5425,
Malta,2017,14.2298,26.5118,1368.5406,0.4379,0.2185,0.2195,100.4554,0.3154
Malta,2020,14.3739,28.1477,1379.8219,0.4415,0.2201,0.2214,100.591,
Marshall Islands,2004,40.57,3.6105,289.3,0.0521,,,104.0466,
Marshall Islands,2005,,,289.1944,0.0521,,,,
Marshall Islands,2010,40.9483,4.4821,291.25,0.0524,,,105.2188,
Marshall Islands,2016,38.9725,5.4975,294.8111,0.0531,,,104.461,
Marshall Islands,2017,,,295.15,0.0531,,,,0.181
Marshall Islands,2020,,,295.8389,0.0533,,,,
Martinique,2005,21.0861,17.9788,374.7075,0.3972,0.2121,0.1851,87.3101,
Martinique,2010,19.5154,20.6216,372.3236,0.3947,0.2124,0.1822,85.7838,
Martinique,2017,16.4509,26.8896,354.6679,0.3759,0.2023,0.1737,85.869,1.128
Martinique,2020,15.6556,29.242,354.0236,0.3753,0.2027,0.1726,85.1716,
Mauritania,2005,42.2289,4.9,2.9341,3.0242,1.5161,1.5081,99.4693,
Mauritania,2010,41.2467,4.8397,3.3901,3.4942,1.7473,1.7469,99.9819,
Mauritania,2017,40.2626,4.9348,4.155,4.2826,2.1347,2.1479,100.6211,1030.7
Mauritania,2020,39.6851,5.0931,4.5112,4.6497,2.3147,2.335,100.8771,
Mauritius,2005,24.7268,9.6413,601.9719,1.222,0.6164,0.6056,98.2527,
Mauritius,2010,21.9449,12.0541,614.7562,1.248,0.6294,0.6186,98.2845,
Mauritius,2017,18.3574,16.5859,622.9059,1.2645,0.639,0.6255,97.881,1.969
Mauritius,2020,16.7847,18.428,626.4867,1.2718,0.6443,0.6275,97.3914,
Mayotte,2005,42.4412,4.7783,474.928,0.1781,0.0903,0.0878,97.1758,
Mayotte,2010,42.9422,5.0805,556.5813,0.2087,0.1067,0.102,95.6413,
Mayotte,2020,39.0034,6.1019,727.5067,0.2728,0.1387,0.1342,96.7581,
Mexico,2005,31.8372,8.0949,54.5308,106.0052,54.1684,51.8368,95.6958,
Mexico,2010,29.5077,8.8414,58.6913,114.093,58.2672,55.8258,95.81,
Mexico,2017,26.9392,10.4244,64.1875,124.7773,63.7528,61.0245,95.7205,1964.375
Mexico,2020,25.8353,11.2397,66.3251,128.9328,65.8613,63.0715,95.7642,
Micronesia (Fed. States of),2005,38.8546,5.4255,151.6129,0.1061,0.0522,0.0539,103.3393,
Micronesia (Fed. States of),2010,35.6862,5.4474,147.0157,0.1029,0.0507,0.0522,103.0903,
Micronesia (Fed. States of),2017,31.9786,7.0214,159.2271,0.1115,0.0548,0.0567,103.422,0.702
Micronesia (Fed. States of),2020,31.1929,7.8463,164.3186,0.115,0.0565,0.0585,103.4294,
Monaco,2000,13.2324,28.9382,21531.5436,0.0321,,,94.3433,
Monaco,2005,,,22679.8658,0.0338,,,,
Monaco,2008,12.7455,31.1903,24062.4161,0.0359,,,94.7342,
Monaco,2010,,,24895.302,0.0371,,,,
Monaco,2017,,,25969.7987,0.0387,,,,0.002
Monaco,2020,,,26373.8255,0.0393,,,,
Mongolia,2005,28.9294,5.6297,1.6262,2.5264,1.2695,1.2569,99.0084,
Mongolia,2010,27.0218,5.6499,1.7508,2.7199,1.3709,1.349,98.3966,
Mongolia,2017,29.9498,6.54,2.0043,3.1138,1.5767,1.5371,97.4842,1564.116
Mongolia,2020,31.0929,7.2898,2.1102,3.2783,1.6633,1.615,97.1012,
Montenegro,2005,20.1784,17.0441,45.8283,0.6164,0.313,0.3034,96.9429,
Montenegro,2010,19.2436,17.8771,46.4145,0.6243,0.316,0.3083,97.5566,
Montenegro,2017,18.2503,21.0685,46.659,0.6276,0.3173,0.3103,97.7779,13.812
Montenegro,2020,18.0449,22.0991,46.6964,0.6281,0.3175,0.3106,97.8154,
Montserrat,2001,19.3498,19.8619,45.05,0.0045,,,116.6425,
Montserrat,2004,,,46.44,0.0046,,,112.6761,
Montserrat,2005,,,47.78,0.0048,,,,
Montserrat,2006,19.6106,19.0145,48.46,0.0048,,,108.7173,
Montserrat,2010,,,49.44,0.0049,,,,
Montserrat,2011,19.7278,19.6262,49.94,0.005,,,107.1549,
Montserrat,2016,,,51.52,0.0052,,,106.0024,
Montserrat,2017,,,51.77,0.0052,,,,0.103
Montserrat,2020,,,52.43,0.0052,,,,
Morocco,2005,30.7535,8.2354,68.2401,30.4556,15.4105,15.0451,97.6292,
Morocco,2010,28.5137,8.6269,72.4701,32.3434,16.3966,15.9468,97.2571,
Morocco,2017,27.4526,10.6308,79.725,35.5813,17.9387,17.6426,98.3495,446.55
Morocco,2020,26.768,11.8527,82.7035,36.9106,18.5937,18.3169,98.5114,
Mozambique,2005,45.1968,4.9426,26.0611,20.4939,10.6459,9.848,92.505,
Mozambique,2010,45.7322,4.7112,29.9239,23.5316,12.1803,11.3513,93.1941,
Mozambique,2017,44.9595,4.4485,36.4315,28.649,14.7577,13.8913,94.1291,799.38
Mozambique,2020,44.0628,4.3817,39.746,31.2554,16.0672,15.1882,94.5294,
Myanmar,2005,31.1787,6.8967,74.9283,48.9499,25.278,23.672,93.6466,
Myanmar,2010,30.0461,7.3306,77.4554,50.6008,26.2023,24.3985,93.1158,
Myanmar,2017,26.8467,9.1238,81.7134,53.3825,27.6549,25.7276,93.0308,676.577
Myanmar,2020,25.4856,10.003,83.2858,54.4098,28.1896,26.2202,93.0137,
Namibia,2005,39.4367,5.4744,2.3544,1.9383,1.0033,0.935,93.1917,
Namibia,2010,37.4144,5.8402,2.5737,2.1189,1.0949,1.024,93.5291,
Namibia,2017,36.8825,5.5593,2.9183,2.4026,1.239,1.1636,93.9169,824.116
Namibia,2020,36.8412,5.6084,3.0863,2.5409,1.3092,1.2317,94.0767,
Nauru,2002,38.1321,2.5335,504.0,0.0101,,,104.1996,
Nauru,2005,,,505.7,0.0101,,,,
Nauru,2010,,,501.25,0.01,,,,
Nauru,2016,39.5195,4.0404,567.35,0.0113,,,101.8868,
Nauru,2017,,,567.95,0.0114,,,,0.021
Nauru,2020,,,561.35,0.0112,,,,
Nepal,2005,39.2676,6.6697,179.5919,25.7445,12.9566,12.7879,98.6985,
Nepal,2010,36.289,7.5285,188.4424,27.0132,13.7166,13.2966,96.9381,
Nepal,2017,31.3365,8.4515,192.7637,27.6327,15.0777,12.555,83.2683,147.181
Nepal,2020,28.8097,8.6531,203.2564,29.1368,15.7884,13.3484,84.546,
Netherlands,2005,18.3204,19.2688,485.3843,16.3672,8.2511,8.1161,98.3638,
Netherlands,2010,17.5222,21.968,494.7484,16.6829,8.3985,8.2844,98.6412,
Netherlands,2017,16.3531,25.0462,504.7849,17.0213,8.5525,8.4688,99.0218,41.542
Netherlands,2020,15.7017,26.6001,508.1516,17.1349,8.5977,8.5371,99.2954,
New Caledonia,2005,27.9303,9.4514,12.9345,0.2364,0.1172,0.1192,101.7019,
New Caledonia,2010,25.8324,10.9902,13.8691,0.2535,0.1258,0.1277,101.5414,
New Caledonia,2017,23.046,13.0135,15.1614,0.2772,0.1375,0.1396,101.5101,18.575
New Caledonia,2020,22.108,14.1927,15.6181,0.2855,0.142,0.1435,101.0599,
New Zealand,2005,21.5448,16.4477,15.7053,4.1354,2.1096,2.0257,96.025,
New Zealand,2010,20.4975,18.3637,16.5966,4.3701,2.2243,2.1458,96.4693,
New Zealand,2017,19.7162,20.8563,17.8574,4.702,2.3901,2.3119,96.7268,268.107
New Zealand,2020,19.4307,22.2123,18.3139,4.8222,2.4521,2.3702,96.6597,
Nicaragua,2005,36.223,6.0167,45.1944,5.4387,2.7546,2.6841,97.4437,
Nicaragua,2010,33.3185,6.2933,48.3968,5.8241,2.955,2.8691,97.0931,
Nicaragua,2017,30.5484,7.8709,53.0567,6.3848,3.2378,3.147,97.1943,130.373
Nicaragua,2020,29.5007,8.6865,55.0486,6.6246,3.3597,3.2648,97.1767,
Niger,2005,49.1925,4.1248,10.7559,13.6245,6.841,6.7835,99.1585,
Niger,2010,50.0361,4.1561,12.9976,16.464,8.237,8.227,99.8786,
Niger,2017,50.0929,4.1346,17.0541,21.6024,10.7574,10.8449,100.8134,1267.0
Niger,2020,49.672,4.1128,19.11,24.2066,12.0365,12.1702,101.1107,
Nigeria,2005,43.6714,4.6015,152.4699,138.865,68.7442,70.1208,102.0026,
Nigeria,2010,44.0352,4.5414,174.0321,158.5032,78.342,80.1612,102.3221,
Nigeria,2017,44.0131,4.4853,209.5735,190.8732,94.1858,96.6874,102.656,923.768
Nigeria,2020,43.4876,4.5119,226.3355,206.1396,101.67,104.4696,102.7537,
Niue,2005,26.1168,15.063,6.4731,0.0017,,,94.7545,
Niue,2010,25.7353,16.8449,6.2692,0.0016,,,101.8919,
Niue,2016,22.7538,20.0822,6.2462,0.0016,,,100.0,
Niue,2017,,,6.2231,0.0016,,,,0.26
Niue,2020,,,6.2769,0.0016,,,,
North Macedonia,2005,20.2061,15.3143,81.692,2.0603,1.0305,1.0298,99.9276,
North Macedonia,2010,17.9055,16.3791,82.1071,2.0707,1.0358,1.0349,99.9144,
North Macedonia,2017,16.6612,19.4396,82.5534,2.082,1.0402,1.0418,100.1513,25.713
North Macedonia,2020,16.3102,20.6723,82.608,2.0834,1.0412,1.0421,100.0847,
Northern Mariana Islands,2005,22.9345,3.7403,138.5739,0.0637,,,83.2654,
Northern Mariana Islands,2010,26.6522,5.7718,118.313,0.0544,,,106.156,
Northern Mariana Islands,2016,23.5251,9.9945,119.6152,0.055,,,107.0632,
Northern Mariana Islands,2017,,,119.8783,0.0551,,,,0.457
Northern Mariana Islands,2020,,,120.3196,0.0553,,,,
Norway,2005,19.6122,19.8122,12.6821,4.6324,2.3341,2.2982,98.4634,
Norway,2010,18.8116,21.0006,13.3761,4.8859,2.4434,2.4424,99.9593,
Norway,2017,17.6701,22.367,14.4998,5.2963,2.6249,2.6714,101.7694,386.194
Norway,2020,17.2571,23.2666,14.8418,5.4212,2.6813,2.74,102.1902,
Oman,2005,32.4769,4.1093,8.1139,2.5113,1.0909,1.4204,130.1996,
Oman,2010,25.689,3.8985,9.8269,3.0414,1.2069,1.8345,152.0066,
Oman,2017,22.0405,3.9624,15.0757,4.6659,1.5926,3.0734,192.9816,309.5
Oman,2020,22.4869,4.2653,16.4996,5.1066,1.7364,3.3702,194.0938,
Other non-specified areas,2005,18.9991,13.1353,641.2232,22.7057,11.2116,11.4941,102.5197,
Other non-specified areas,2010,15.8508,15.1757,654.8306,23.1876,11.5333,11.6542,101.0484,
Other non-specified areas,2020,12.7166,22.9211,672.6003,23.8168,11.9825,11.8343,98.7636,
Pakistan,2005,39.973,6.2578,207.9494,160.304,77.6278,82.6762,106.5034,
Pakistan,2010,37.695,6.3026,232.753,179.4246,86.9977,92.427,106.2408,
Pakistan,2017,35.4786,6.4761,269.6998,207.9062,100.9123,106.9939,106.0265,796.095
Pakistan,2020,34.8196,6.7385,286.5457,220.8923,107.2203,113.672,106.0172,
Palau,2005,24.1021,8.2484,43.2739,0.0199,,,116.1924,
Palau,2010,,,44.5,0.0205,,,,
Palau,2016,20.2788,13.1483,46.7457,0.0215,,,113.253,
Palau,2017,,,47.237,0.0217,,,,0.459
Palau,2020,,,48.787,0.0224,,,,
Panama,2005,30.4297,8.7684,44.7971,3.3302,1.6542,1.676,101.3202,
Panama,2010,29.1307,9.6909,49.0004,3.6427,1.8125,1.8302,100.981,
Panama,2017,27.3395,11.35,55.2431,4.1068,2.0487,2.0581,100.4577,75.32
Panama,2020,26.4948,12.2406,58.041,4.3148,2.1549,2.1599,100.2317,
Papua New Guinea,2005,39.1794,5.0349,14.342,6.4949,3.1917,3.3032,103.4942,
Papua New Guinea,2010,38.3023,5.2846,16.143,7.3105,3.5907,3.7198,103.5964,
Papua New Guinea,2017,36.1384,5.7077,18.6328,8.438,4.1325,4.3055,104.1862,462.84
Papua New Guinea,2020,35.146,5.9972,19.7567,8.947,4.379,4.5681,104.3188,
Paraguay,2005,35.4962,6.9574,14.6592,5.8241,2.867,2.9571,103.1447,
Paraguay,2010,32.9354,7.7503,15.7262,6.248,3.07,3.178,103.5193,
Paraguay,2017,29.7044,9.2726,17.2843,6.8671,3.3742,3.4929,103.5181,406.752
Paraguay,2020,28.8935,9.9007,17.9525,7.1325,3.5082,3.6244,103.312,
Peru,2005,32.0454,7.9457,21.7704,27.8661,13.9733,13.8928,99.4236,
Peru,2010,30.0951,8.9003,22.6779,29.0277,14.5538,14.4739,99.4511,
Peru,2017,26.3625,11.3443,24.5659,31.4443,15.831,15.6133,98.6243,1285.216
Peru,2020,24.6921,12.5087,25.7593,32.9719,16.5932,16.3786,98.7065,
Philippines,2005,37.0585,5.4608,289.5202,86.3263,42.9396,43.3867,101.0411,
Philippines,2010,33.9914,6.5015,315.145,93.9668,46.5691,47.3977,101.7794,
Philippines,2017,31.468,7.8036,352.7281,105.1729,52.2936,52.8793,101.12,300.0
Philippines,2020,30.0427,8.6082,367.5121,109.5811,54.5523,55.0288,100.8736,
Poland,2005,16.6108,17.0271,125.2945,38.3689,19.792,18.577,93.8614,
Poland,2010,15.2173,19.3524,125.1666,38.3298,19.7976,18.5322,93.6083,
Poland,2017,14.8793,24.1535,123.9368,37.9532,19.5548,18.3984,94.0866,312.679
Poland,2020,15.2177,25.9403,123.5888,37.8466,19.5087,18.3379,93.9984,
Portugal,2005,15.4363,22.4397,114.7341,10.5085,5.4285,5.08,93.5791,
Portugal,2010,14.9672,24.6722,115.6901,10.5961,5.5252,5.0709,91.7776,
Portugal,2017,13.6671,27.9109,112.3324,10.2885,5.4231,4.8654,89.7158,92.226
Portugal,2020,13.054,29.3677,111.3299,10.1967,5.3727,4.824,89.7883,
Puerto Rico,2005,22.2695,16.8761,409.4576,3.6319,1.8905,1.7414,92.1088,
Puerto Rico,2010,20.6289,18.2972,403.5897,3.5798,1.8607,1.7191,92.3918,
Puerto Rico,2017,17.428,23.5306,356.6705,3.1637,1.656,1.5077,91.0474,8.868
Puerto Rico,2020,15.7523,27.6895,322.5313,2.8609,1.5053,1.3555,90.0484,
Qatar,2005,21.7045,2.5186,74.5406,0.8654,0.2808,0.5846,208.234,
Qatar,2010,12.8872,1.6299,159.8904,1.8563,0.437,1.4193,324.7504,
Qatar,2017,13.5107,2.7089,234.688,2.7247,0.663,2.0617,310.9719,11.607
Qatar,2020,13.6392,3.5617,248.1527,2.8811,0.7159,2.1651,302.4248,
Republic of Korea,2005,18.8273,12.7919,500.8853,48.7011,24.2701,24.4309,100.6626,
Republic of Korea,2010,16.1016,15.3337,509.5715,49.5456,24.721,24.8246,100.4191,
Republic of Korea,2017,13.2255,20.0821,525.5211,51.0964,25.5003,25.5961,100.3756,100.2839
Republic of Korea,2020,12.5428,23.1532,527.298,51.2692,25.6033,25.6659,100.2442,
Republic of Moldova,2005,18.5162,13.5644,126.6147,4.1593,2.1673,1.992,91.9111,
Republic of Moldova,2010,16.5163,14.0894,124.386,4.0861,2.1216,1.9645,92.5942,
Republic of Moldova,2017,15.8161,17.5229,123.5825,4.0597,2.111,1.9486,92.3076,33.846
Republic of Moldova,2020,15.8883,18.8918,122.7995,4.034,2.102,1.932,91.9098,
Romania,2005,15.7384,19.6516,93.0499,21.4173,10.9787,10.4386,95.0802,
Romania,2010,15.7755,21.3425,88.9424,20.4719,10.5318,9.94,94.3806,
Romania,2017,15.4495,24.9005,85.3889,19.654,10.0874,9.5666,94.8378,238.3907
Romania,2020,15.5206,25.9363,83.5804,19.2377,9.8838,9.3539,94.6391,
Russian Federation,2005,15.1738,17.1844,8.7729,143.6721,76.8209,66.8513,87.0223,
Russian Federation,2010,14.9273,17.9647,8.7611,143.4793,76.9378,66.5415,86.4874,
Russian Federation,2017,17.634,21.0083,8.8863,145.5301,78.101,67.429,86.3357,17098.246
Russian Federation,2020,18.3623,22.4118,8.911,145.9345,78.2942,67.6403,86.3925,
Rwanda,2005,42.3586,4.1802,358.3387,8.8402,4.5145,4.3257,95.8176,
Rwanda,2010,41.5394,4.0508,406.9452,10.0393,5.1185,4.9209,96.1399,
Rwanda,2017,40.1361,4.7317,485.649,11.981,6.0949,5.8861,96.5736,26.338
Rwanda,2020,39.4742,5.1208,525.019,12.9522,6.5848,6.3674,96.6993,
Réunion,2005,26.8588,10.2633,316.6392,0.7916,0.4031,0.3885,96.3566,
Réunion,2010,25.4171,12.1951,332.2076,0.8305,0.4284,0.4021,93.8738,
Réunion,2017,23.6064,16.4103,350.4536,0.8761,0.4519,0.4243,93.8913,2.513
Réunion,2020,22.3819,18.2721,358.1248,0.8953,0.462,0.4333,93.7867,
Saint Barthélemy,2005,,,388.7727,0.0086,,,,
Saint Barthélemy,2010,,,419.7273,0.0092,,,,
Saint Barthélemy,2020,,,448.9545,0.0099,,,,
Saint Helena,2005,,,10.9615,0.0043,,,,
Saint Helena,2010,,,10.7103,0.0042,,,,
Saint Helena,2017,,,10.3821,0.004,,,,0.308
Saint Helena,2020,,,10.5795,0.0041,,,,
Saint Kitts and Nevis,2000,27.9772,9.9128,174.5154,0.0454,,,101.949,
Saint Kitts and Nevis,2005,,,186.9654,0.0486,,,95.7168,
Saint Kitts and Nevis,2010,,,197.8654,0.0514,,,95.7249,
Saint Kitts and Nevis,2011,,,200.0231,0.052,,,97.0024,
Saint Kitts and Nevis,2017,,,212.8654,0.0553,,,,0.261
Saint Kitts and Nevis,2020,,,218.5115,0.0568,,,,
Saint Lucia,2005,27.7615,9.6318,267.8967,0.1634,0.0833,0.0801,96.2364,
Saint Lucia,2010,23.2157,11.8637,285.3852,0.1741,0.0884,0.0857,96.9055,
Saint Lucia,2017,18.9087,13.5919,296.6459,0.181,0.0918,0.0891,97.0372,0.539
Saint Lucia,2020,17.9527,14.8796,301.0279,0.1836,0.0932,0.0904,97.012,
Saint Martin (French part),2005,,,646.1887,0.0342,,,,
